,map_name,player_name,team_name,hero_name
47194,Dorado,Jinmu,Chengdu Hunters,Genji
47218,Dorado,Jinmu,Chengdu Hunters,Symmetra
47241,Dorado,Leave,Chengdu Hunters,Hanzo
47249,Dorado,Leave,Chengdu Hunters,Soldier: 76
47263,Dorado,Leave,Chengdu Hunters,Widowmaker
47294,Dorado,Mmonk,Chengdu Hunters,Ana
47332,Dorado,Nisha,Chengdu Hunters,Brigitte
47365,Dorado,ChoiSehwan,Guangzhou Charge,Echo
47382,Dorado,ChoiSehwan,Guangzhou Charge,Tracer
47424,Dorado,Cr0ng,Guangzhou Charge,D.Va
47443,Dorado,Cr0ng,Guangzhou Charge,Doomfist
47447,Dorado,Cr0ng,Guangzhou Charge,Zarya
47478,Dorado,Develop,Guangzhou Charge,Ashe
47486,Dorado,Develop,Guangzhou Charge,Sombra
47504,Dorado,Develop,Guangzhou Charge,Tracer
47507,Dorado,Develop,Guangzhou Charge,Widowmaker
47542,Dorado,Farway1987,Guangzhou Charge,Ana
47582,Dorado,Unique,Guangzhou Charge,Brigitte
47595,Dorado,Unique,Guangzhou Charge,Lucio
47612,Dorado,Unique,Guangzhou Charge,Mercy
47643,King's Row,Daizi,Chengdu Hunters,Zarya
47684,King's Row,Jinmu,Chengdu Hunters,Genji
47713,King's Row,Leave,Chengdu Hunters,Ashe
47740,King's Row,Leave,Chengdu Hunters,Sojourn
47751,King's Row,Leave,Chengdu Hunters,Soldier: 76
47773,King's Row,Leave,Chengdu Hunters,Widowmaker
47792,King's Row,Mmonk,Chengdu Hunters,Ana
47834,King's Row,Nisha,Chengdu Hunters,Brigitte
47850,King's Row,Nisha,Chengdu Hunters,Lucio
47886,King's Row,ChoiSehwan,Guangzhou Charge,Genji
47902,King's Row,ChoiSehwan,Guangzhou Charge,Hanzo
47920,King's Row,Cr0ng,Guangzhou Charge,Zarya
47957,King's Row,Develop,Guangzhou Charge,Soldier: 76
47979,King's Row,Develop,Guangzhou Charge,Widowmaker
48020,King's Row,Farway1987,Guangzhou Charge,Ana
48051,King's Row,Unique,Guangzhou Charge,Lucio
48093,Colosseo,AlphaYi,Hangzhou Spark,Reaper
48124,Colosseo,BERNAR,Hangzhou Spark,Zarya
48163,Colosseo,Superich,Hangzhou Spark,Lucio
48197,Colosseo,irony,Hangzhou Spark,Ana
48240,Colosseo,shy,Hangzhou Spark,Soldier: 76
48280,Colosseo,Fate,Shanghai Dragons,Winston
48317,Colosseo,Fleta,Shanghai Dragons,Genji
48360,Colosseo,IZaYaKI,Shanghai Dragons,Ana
48406,Colosseo,LIP,Shanghai Dragons,Soldier: 76
48437,Colosseo,LeeJaeGon,Shanghai Dragons,Lucio
