,esports_match_id,map_name,map_type,player_name,team_name,hero_name
29026,38988,Watchpoint: Gibraltar,payload,Edison,Dallas Fuel,Tracer
29045,38988,Watchpoint: Gibraltar,payload,Edison,Dallas Fuel,Widowmaker
29061,38988,Watchpoint: Gibraltar,payload,FEARLESS,Dallas Fuel,Winston
29092,38988,Watchpoint: Gibraltar,payload,FEARLESS,Dallas Fuel,Wrecking Ball
29111,38988,Watchpoint: Gibraltar,payload,Fielder,Dallas Fuel,Ana
29152,38988,Watchpoint: Gibraltar,payload,SP9RK1E,Dallas Fuel,Genji
29180,38988,Watchpoint: Gibraltar,payload,SP9RK1E,Dallas Fuel,Tracer
29208,38988,Watchpoint: Gibraltar,payload,ANS,Los Angeles Gladiators,Soldier: 76
29230,38988,Watchpoint: Gibraltar,payload,ANS,Los Angeles Gladiators,Widowmaker
29267,38988,Watchpoint: Gibraltar,payload,Reiner,Los Angeles Gladiators,Winston
29307,38988,Watchpoint: Gibraltar,payload,kevster,Los Angeles Gladiators,Genji
29331,38988,Watchpoint: Gibraltar,payload,kevster,Los Angeles Gladiators,Symmetra
29355,38988,Watchpoint: Gibraltar,payload,shu,Los Angeles Gladiators,Ana
29391,38988,Watchpoint: Gibraltar,payload,skewed,Los Angeles Gladiators,Brigitte
29424,38988,Eichenwalde,hybrid,ChiYo,Dallas Fuel,Lucio
29457,38988,Eichenwalde,hybrid,Edison,Dallas Fuel,Reaper
29476,38988,Eichenwalde,hybrid,Edison,Dallas Fuel,Tracer
29505,38988,Eichenwalde,hybrid,Fielder,Dallas Fuel,Ana
29550,38988,Eichenwalde,hybrid,Hanbin,Dallas Fuel,Zarya
29576,38988,Eichenwalde,hybrid,SP9RK1E,Dallas Fuel,Genji
29602,38988,Eichenwalde,hybrid,SP9RK1E,Dallas Fuel,Reaper
29606,38988,Eichenwalde,hybrid,SP9RK1E,Dallas Fuel,Soldier: 76
29628,38988,Eichenwalde,hybrid,SP9RK1E,Dallas Fuel,Symmetra
29635,38988,Eichenwalde,hybrid,SP9RK1E,Dallas Fuel,Tracer
29653,38988,Eichenwalde,hybrid,ANS,Los Angeles Gladiators,Soldier: 76
29691,38988,Eichenwalde,hybrid,FunnyAstro,Los Angeles Gladiators,Lucio
29724,38988,Eichenwalde,hybrid,Reiner,Los Angeles Gladiators,Doomfist
29748,38988,Eichenwalde,hybrid,Reiner,Los Angeles Gladiators,Winston
29781,38988,Eichenwalde,hybrid,kevster,Los Angeles Gladiators,Echo
29803,38988,Eichenwalde,hybrid,kevster,Los Angeles Gladiators,Genji
29822,38988,Eichenwalde,hybrid,kevster,Los Angeles Gladiators,Tracer
29831,38988,Eichenwalde,hybrid,kevster,Los Angeles Gladiators,Widowmaker
29852,38988,Eichenwalde,hybrid,shu,Los Angeles Gladiators,Ana
29889,38988,Ilios,control,ChiYo,Dallas Fuel,Lucio
29917,38988,Ilios,control,ChiYo,Dallas Fuel,Mercy
29938,38988,Ilios,control,Edison,Dallas Fuel,Reaper
29958,38988,Ilios,control,Edison,Dallas Fuel,Soldier: 76
29989,38988,Ilios,control,Fielder,Dallas Fuel,Ana
30031,38988,Ilios,control,Hanbin,Dallas Fuel,D.Va
30040,38988,Ilios,control,Hanbin,Dallas Fuel,Winston
30061,38988,Ilios,control,Hanbin,Dallas Fuel,Zarya
30090,38988,Ilios,control,SP9RK1E,Dallas Fuel,Echo
30104,38988,Ilios,control,SP9RK1E,Dallas Fuel,Genji
30125,38988,Ilios,control,SP9RK1E,Dallas Fuel,Symmetra
30130,38988,Ilios,control,SP9RK1E,Dallas Fuel,Tracer
30156,38988,Ilios,control,ANS,Los Angeles Gladiators,Soldier: 76
30179,38988,Ilios,control,ANS,Los Angeles Gladiators,Tracer
30205,38988,Ilios,control,FunnyAstro,Los Angeles Gladiators,Lucio
30244,38988,Ilios,control,Reiner,Los Angeles Gladiators,Doomfist
30282,38988,Ilios,control,kevster,Los Angeles Gladiators,Echo
30307,38988,Ilios,control,kevster,Los Angeles Gladiators,Genji
30327,38988,Ilios,control,kevster,Los Angeles Gladiators,Tracer
30359,38988,Ilios,control,shu,Los Angeles Gladiators,Ana
30394,38988,Ilios,control,shu,Los Angeles Gladiators,Moira
30411,38988,New Queen Street,push,ChiYo,Dallas Fuel,Lucio
30452,38988,New Queen Street,push,Edison,Dallas Fuel,Reaper
30464,38988,New Queen Street,push,Edison,Dallas Fuel,Soldier: 76
30498,38988,New Queen Street,push,Fielder,Dallas Fuel,Ana
