,esports_match_id,map_name,map_type,player_name,team_name,hero_name
27810,39057,Dorado,payload,Daizi,Chengdu Hunters,Junker Queen
27844,39057,Dorado,payload,Jinmu,Chengdu Hunters,Genji
27872,39057,Dorado,payload,Leave,Chengdu Hunters,Sojourn
27897,39057,Dorado,payload,Mmonk,Chengdu Hunters,Brigitte
27921,39057,Dorado,payload,Nisha,Chengdu Hunters,Lucio
27952,39057,Dorado,payload,Fits,Seoul Dynasty,Ashe
27995,39057,Dorado,payload,Profit,Seoul Dynasty,Brigitte
28028,39057,Dorado,payload,Stalk3r,Seoul Dynasty,Genji
28047,39057,Dorado,payload,Stalk3r,Seoul Dynasty,Symmetra
28064,39057,Dorado,payload,Vindaim,Seoul Dynasty,Lucio
28104,39057,Dorado,payload,smurf,Seoul Dynasty,Junker Queen
28137,39058,Lijiang Tower,control,Architect,Hangzhou Spark,Genji
28165,39058,Lijiang Tower,control,BERNAR,Hangzhou Spark,Junker Queen
28199,39058,Lijiang Tower,control,Superich,Hangzhou Spark,Lucio
28237,39058,Lijiang Tower,control,irony,Hangzhou Spark,Brigitte
28267,39058,Lijiang Tower,control,shy,Hangzhou Spark,Sojourn
28304,39058,Lijiang Tower,control,IZaYaKI,Shanghai Dragons,Brigitte
28332,39058,Lijiang Tower,control,LIP,Shanghai Dragons,Sojourn
28352,39058,Lijiang Tower,control,LIP,Shanghai Dragons,Symmetra
28373,39058,Lijiang Tower,control,LeeJaeGon,Shanghai Dragons,Lucio
28411,39058,Lijiang Tower,control,Void,Shanghai Dragons,Junker Queen
28446,39058,Lijiang Tower,control,WhoRu,Shanghai Dragons,Genji
28484,39058,Paraíso,hybrid,Architect,Hangzhou Spark,Genji
28503,39058,Paraíso,hybrid,Architect,Hangzhou Spark,Widowmaker
28524,39058,Paraíso,hybrid,BERNAR,Hangzhou Spark,Junker Queen
28557,39058,Paraíso,hybrid,Superich,Hangzhou Spark,Lucio
28573,39058,Paraíso,hybrid,Superich,Hangzhou Spark,Mercy
28583,39058,Paraíso,hybrid,irony,Hangzhou Spark,Brigitte
28609,39058,Paraíso,hybrid,shy,Hangzhou Spark,Sojourn
28645,39058,Paraíso,hybrid,IZaYaKI,Shanghai Dragons,Brigitte
28672,39058,Paraíso,hybrid,LIP,Shanghai Dragons,Sojourn
28690,39058,Paraíso,hybrid,LIP,Shanghai Dragons,Widowmaker
28710,39058,Paraíso,hybrid,LeeJaeGon,Shanghai Dragons,Lucio
28750,39058,Paraíso,hybrid,Void,Shanghai Dragons,Junker Queen
28785,39058,Paraíso,hybrid,WhoRu,Shanghai Dragons,Echo
28808,39058,Paraíso,hybrid,WhoRu,Shanghai Dragons,Genji
28829,39058,Paraíso,hybrid,WhoRu,Shanghai Dragons,Hanzo
28847,39058,Watchpoint: Gibraltar,payload,Architect,Hangzhou Spark,Genji
28877,39058,Watchpoint: Gibraltar,payload,BERNAR,Hangzhou Spark,Junker Queen
