,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
3865,39108,Oasis,control,kevster,Los Angeles Gladiators,Genji,Summer Showdown: Qualifiers
3887,39108,Oasis,control,kevster,Los Angeles Gladiators,Symmetra,Summer Showdown: Qualifiers
3905,39108,Oasis,control,shu,Los Angeles Gladiators,Sojourn,Summer Showdown: Qualifiers
3926,39108,Oasis,control,shu,Los Angeles Gladiators,Tracer,Summer Showdown: Qualifiers
3947,39108,Oasis,control,skewed,Los Angeles Gladiators,Brigitte,Summer Showdown: Qualifiers
3988,39108,Paraíso,hybrid,ChiYo,Dallas Fuel,Lucio,Summer Showdown: Qualifiers
4021,39108,Paraíso,hybrid,Doha,Dallas Fuel,Genji,Summer Showdown: Qualifiers
4061,39108,Paraíso,hybrid,Edison,Dallas Fuel,Sojourn,Summer Showdown: Qualifiers
4089,39108,Paraíso,hybrid,Fielder,Dallas Fuel,Brigitte,Summer Showdown: Qualifiers
4123,39108,Paraíso,hybrid,Hanbin,Dallas Fuel,Junker Queen,Summer Showdown: Qualifiers
4164,39108,Paraíso,hybrid,ANS,Los Angeles Gladiators,Ashe,Summer Showdown: Qualifiers
4187,39108,Paraíso,hybrid,ANS,Los Angeles Gladiators,Widowmaker,Summer Showdown: Qualifiers
4207,39108,Paraíso,hybrid,FunnyAstro,Los Angeles Gladiators,Lucio,Summer Showdown: Qualifiers
4248,39108,Paraíso,hybrid,Reiner,Los Angeles Gladiators,Junker Queen,Summer Showdown: Qualifiers
4283,39108,Paraíso,hybrid,kevster,Los Angeles Gladiators,Echo,Summer Showdown: Qualifiers
4310,39108,Paraíso,hybrid,kevster,Los Angeles Gladiators,Genji,Summer Showdown: Qualifiers
4343,39108,Paraíso,hybrid,skewed,Los Angeles Gladiators,Brigitte,Summer Showdown: Qualifiers
4375,39108,Junkertown,payload,ChiYo,Dallas Fuel,Lucio,Summer Showdown: Qualifiers
4420,39108,Junkertown,payload,Doha,Dallas Fuel,Genji,Summer Showdown: Qualifiers
4457,39108,Junkertown,payload,Edison,Dallas Fuel,Ashe,Summer Showdown: Qualifiers
4473,39108,Junkertown,payload,Edison,Dallas Fuel,Sojourn,Summer Showdown: Qualifiers
4514,39108,Junkertown,payload,Fielder,Dallas Fuel,Brigitte,Summer Showdown: Qualifiers
4539,39108,Junkertown,payload,Hanbin,Dallas Fuel,Junker Queen,Summer Showdown: Qualifiers
4581,39108,Junkertown,payload,ANS,Los Angeles Gladiators,Ashe,Summer Showdown: Qualifiers
4622,39108,Junkertown,payload,FunnyAstro,Los Angeles Gladiators,Lucio,Summer Showdown: Qualifiers
4663,39108,Junkertown,payload,Reiner,Los Angeles Gladiators,Junker Queen,Summer Showdown: Qualifiers
4699,39108,Junkertown,payload,kevster,Los Angeles Gladiators,Genji,Summer Showdown: Qualifiers
4722,39108,Junkertown,payload,kevster,Los Angeles Gladiators,Hanzo,Summer Showdown: Qualifiers
4745,39108,Junkertown,payload,skewed,Los Angeles Gladiators,Brigitte,Summer Showdown: Qualifiers
4788,39108,Colosseo,push,ChiYo,Dallas Fuel,Lucio,Summer Showdown: Qualifiers
4823,39108,Colosseo,push,Doha,Dallas Fuel,Genji,Summer Showdown: Qualifiers
4860,39108,Colosseo,push,Edison,Dallas Fuel,Sojourn,Summer Showdown: Qualifiers
4898,39108,Colosseo,push,Fielder,Dallas Fuel,Brigitte,Summer Showdown: Qualifiers
4930,39108,Colosseo,push,Hanbin,Dallas Fuel,Junker Queen,Summer Showdown: Qualifiers
4970,39108,Colosseo,push,ANS,Los Angeles Gladiators,Ashe,Summer Showdown: Qualifiers
