,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
2805,38972,Dorado,payload,FiNN,San Francisco Shock,Moira,Kickoff Clash: Qualifiers
2825,38972,Dorado,payload,Kilo,San Francisco Shock,Reaper,Kickoff Clash: Qualifiers
2841,38972,Dorado,payload,Kilo,San Francisco Shock,Soldier: 76,Kickoff Clash: Qualifiers
2863,38972,Dorado,payload,Kilo,San Francisco Shock,Widowmaker,Kickoff Clash: Qualifiers
2903,38972,Dorado,payload,Proper,San Francisco Shock,Genji,Kickoff Clash: Qualifiers
2923,38972,Dorado,payload,Proper,San Francisco Shock,Symmetra,Kickoff Clash: Qualifiers
2930,38972,Dorado,payload,Proper,San Francisco Shock,Tracer,Kickoff Clash: Qualifiers
2944,38972,Dorado,payload,Viol2t,San Francisco Shock,Brigitte,Kickoff Clash: Qualifiers
2962,38972,Dorado,payload,Viol2t,San Francisco Shock,Lucio,Kickoff Clash: Qualifiers
2995,38972,Dorado,payload,Daan,Vegas Eternal,Winston,Kickoff Clash: Qualifiers
3039,38972,Dorado,payload,Glister,Vegas Eternal,Soldier: 76,Kickoff Clash: Qualifiers
3060,38972,Dorado,payload,Glister,Vegas Eternal,Sombra,Kickoff Clash: Qualifiers
3089,38972,Dorado,payload,Kaan,Vegas Eternal,Ana,Kickoff Clash: Qualifiers
3129,38972,Dorado,payload,Naga,Vegas Eternal,Genji,Kickoff Clash: Qualifiers
3150,38972,Dorado,payload,Naga,Vegas Eternal,Reaper,Kickoff Clash: Qualifiers
3183,38972,Dorado,payload,dridro,Vegas Eternal,Lucio,Kickoff Clash: Qualifiers
3226,38973,Lijiang Tower,control,Hawk,Atlanta Reign,Doomfist,Kickoff Clash: Qualifiers
3262,38973,Lijiang Tower,control,Kai,Atlanta Reign,Reaper,Kickoff Clash: Qualifiers
3286,38973,Lijiang Tower,control,Kai,Atlanta Reign,Soldier: 76,Kickoff Clash: Qualifiers
3306,38973,Lijiang Tower,control,Kai,Atlanta Reign,Symmetra,Kickoff Clash: Qualifiers
3328,38973,Lijiang Tower,control,Ojee,Atlanta Reign,Lucio,Kickoff Clash: Qualifiers
3370,38973,Lijiang Tower,control,UltraViolet,Atlanta Reign,Ana,Kickoff Clash: Qualifiers
3412,38973,Lijiang Tower,control,nero,Atlanta Reign,Genji,Kickoff Clash: Qualifiers
3431,38973,Lijiang Tower,control,nero,Atlanta Reign,Tracer,Kickoff Clash: Qualifiers
3460,38973,Lijiang Tower,control,Anamo,Florida Mayhem,Lucio,Kickoff Clash: Qualifiers
3501,38973,Lijiang Tower,control,Checkmate,Florida Mayhem,Genji,Kickoff Clash: Qualifiers
3518,38973,Lijiang Tower,control,Checkmate,Florida Mayhem,Soldier: 76,Kickoff Clash: Qualifiers
3537,38973,Lijiang Tower,control,Hydron,Florida Mayhem,Reaper,Kickoff Clash: Qualifiers
3555,38973,Lijiang Tower,control,Hydron,Florida Mayhem,Soldier: 76,Kickoff Clash: Qualifiers
3587,38973,Lijiang Tower,control,SirMajed,Florida Mayhem,Ana,Kickoff Clash: Qualifiers
3632,38973,Lijiang Tower,control,Someone,Florida Mayhem,Winston,Kickoff Clash: Qualifiers
3677,38973,Eichenwalde,hybrid,Hawk,Atlanta Reign,Doomfist,Kickoff Clash: Qualifiers
3709,38973,Eichenwalde,hybrid,Kai,Atlanta Reign,Reaper,Kickoff Clash: Qualifiers
3728,38973,Eichenwalde,hybrid,Kai,Atlanta Reign,Soldier: 76,Kickoff Clash: Qualifiers
3766,38973,Eichenwalde,hybrid,Ojee,Atlanta Reign,Lucio,Kickoff Clash: Qualifiers
3797,38973,Eichenwalde,hybrid,Ojee,Atlanta Reign,Mercy,Kickoff Clash: Qualifiers
3818,38973,Eichenwalde,hybrid,UltraViolet,Atlanta Reign,Ana,Kickoff Clash: Qualifiers
3868,38973,Eichenwalde,hybrid,nero,Atlanta Reign,Genji,Kickoff Clash: Qualifiers
3891,38973,Eichenwalde,hybrid,nero,Atlanta Reign,Tracer,Kickoff Clash: Qualifiers
3908,38973,Eichenwalde,hybrid,nero,Atlanta Reign,Widowmaker,Kickoff Clash: Qualifiers
3925,38973,Eichenwalde,hybrid,Anamo,Florida Mayhem,Lucio,Kickoff Clash: Qualifiers
3970,38973,Eichenwalde,hybrid,Checkmate,Florida Mayhem,Genji,Kickoff Clash: Qualifiers
3993,38973,Eichenwalde,hybrid,Checkmate,Florida Mayhem,Mei,Kickoff Clash: Qualifiers
4030,38973,Eichenwalde,hybrid,Hydron,Florida Mayhem,Reaper,Kickoff Clash: Qualifiers
4046,38973,Eichenwalde,hybrid,Hydron,Florida Mayhem,Soldier: 76,Kickoff Clash: Qualifiers
4068,38973,Eichenwalde,hybrid,Hydron,Florida Mayhem,Tracer,Kickoff Clash: Qualifiers
4092,38973,Eichenwalde,hybrid,Hydron,Florida Mayhem,Widowmaker,Kickoff Clash: Qualifiers
4115,38973,Eichenwalde,hybrid,SirMajed,Florida Mayhem,Ana,Kickoff Clash: Qualifiers
4141,38973,Eichenwalde,hybrid,SirMajed,Florida Mayhem,Baptiste,Kickoff Clash: Qualifiers
4181,38973,Eichenwalde,hybrid,Someone,Florida Mayhem,Reinhardt,Kickoff Clash: Qualifiers
4200,38973,Eichenwalde,hybrid,Someone,Florida Mayhem,Winston,Kickoff Clash: Qualifiers
4241,38973,Watchpoint: Gibraltar,payload,Hawk,Atlanta Reign,Doomfist,Kickoff Clash: Qualifiers
4275,38973,Watchpoint: Gibraltar,payload,Kai,Atlanta Reign,Soldier: 76,Kickoff Clash: Qualifiers
4295,38973,Watchpoint: Gibraltar,payload,Kai,Atlanta Reign,Tracer,Kickoff Clash: Qualifiers
4329,38973,Watchpoint: Gibraltar,payload,Ojee,Atlanta Reign,Lucio,Kickoff Clash: Qualifiers
4361,38973,Watchpoint: Gibraltar,payload,UltraViolet,Atlanta Reign,Ana,Kickoff Clash: Qualifiers
4398,38973,Watchpoint: Gibraltar,payload,nero,Atlanta Reign,Genji,Kickoff Clash: Qualifiers
4424,38973,Watchpoint: Gibraltar,payload,nero,Atlanta Reign,Symmetra,Kickoff Clash: Qualifiers
4442,38973,Watchpoint: Gibraltar,payload,Anamo,Florida Mayhem,Brigitte,Kickoff Clash: Qualifiers
4465,38973,Watchpoint: Gibraltar,payload,Anamo,Florida Mayhem,Lucio,Kickoff Clash: Qualifiers
4483,38973,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Genji,Kickoff Clash: Qualifiers
4509,38973,Watchpoint: Gibraltar,payload,Hydron,Florida Mayhem,Soldier: 76,Kickoff Clash: Qualifiers
4522,38973,Watchpoint: Gibraltar,payload,Hydron,Florida Mayhem,Widowmaker,Kickoff Clash: Qualifiers
4552,38973,Watchpoint: Gibraltar,payload,SirMajed,Florida Mayhem,Ana,Kickoff Clash: Qualifiers
