,esports_match_id,map_name,map_type,player_name,team_name,hero_name
202335,39156,Oasis,control,Ojee,Atlanta Reign,Zenyatta
202368,39156,Oasis,control,UltraViolet,Atlanta Reign,Ana
202406,39156,Oasis,control,Venom,Atlanta Reign,Symmetra
202415,39156,Oasis,control,Venom,Atlanta Reign,Tracer
202449,39156,Oasis,control,Danteh,Houston Outlaws,Doomfist
202487,39156,Oasis,control,Lastro,Houston Outlaws,Lucio
202490,39156,Oasis,control,Lastro,Houston Outlaws,Zenyatta
202523,39156,Oasis,control,MER1T,Houston Outlaws,Sojourn
202557,39156,Oasis,control,PELICAN,Houston Outlaws,Genji
202584,39156,Oasis,control,PELICAN,Houston Outlaws,Symmetra
202606,39156,Oasis,control,ir1s,Houston Outlaws,Ana
202652,39156,King's Row,hybrid,Hawk,Atlanta Reign,Doomfist
202668,39156,King's Row,hybrid,Hawk,Atlanta Reign,Sigma
202696,39156,King's Row,hybrid,Kai,Atlanta Reign,Sojourn
202714,39156,King's Row,hybrid,Kai,Atlanta Reign,Widowmaker
202733,39156,King's Row,hybrid,Ojee,Atlanta Reign,Zenyatta
202773,39156,King's Row,hybrid,UltraViolet,Atlanta Reign,Ana
202804,39156,King's Row,hybrid,UltraViolet,Atlanta Reign,Baptiste
202833,39156,King's Row,hybrid,Venom,Atlanta Reign,Symmetra
202838,39156,King's Row,hybrid,Venom,Atlanta Reign,Tracer
202875,39156,King's Row,hybrid,Danteh,Houston Outlaws,Doomfist
202911,39156,King's Row,hybrid,Lastro,Houston Outlaws,Lucio
202916,39156,King's Row,hybrid,Lastro,Houston Outlaws,Zenyatta
202954,39156,King's Row,hybrid,MER1T,Houston Outlaws,Sojourn
202974,39156,King's Row,hybrid,MER1T,Houston Outlaws,Widowmaker
202989,39156,King's Row,hybrid,PELICAN,Houston Outlaws,Echo
203012,39156,King's Row,hybrid,PELICAN,Houston Outlaws,Genji
203032,39156,King's Row,hybrid,PELICAN,Houston Outlaws,Tracer
203061,39156,King's Row,hybrid,ir1s,Houston Outlaws,Ana
203087,39156,King's Row,hybrid,ir1s,Houston Outlaws,Lucio
203107,39156,Dorado,payload,Hawk,Atlanta Reign,D.Va
203124,39156,Dorado,payload,Hawk,Atlanta Reign,Winston
203159,39156,Dorado,payload,Kai,Atlanta Reign,Sojourn
203196,39156,Dorado,payload,Ojee,Atlanta Reign,Zenyatta
203228,39156,Dorado,payload,UltraViolet,Atlanta Reign,Ana
203269,39156,Dorado,payload,Venom,Atlanta Reign,Tracer
203310,39156,Dorado,payload,Lastro,Houston Outlaws,Lucio
203314,39156,Dorado,payload,Lastro,Houston Outlaws,Zenyatta
203353,39156,Dorado,payload,MER1T,Houston Outlaws,Ashe
203378,39156,Dorado,payload,MER1T,Houston Outlaws,Sojourn
203416,39156,Dorado,payload,PELICAN,Houston Outlaws,Echo
203446,39156,Dorado,payload,PELICAN,Houston Outlaws,Genji
203462,39156,Dorado,payload,PELICAN,Houston Outlaws,Tracer
203501,39156,Dorado,payload,Piggy,Houston Outlaws,Sigma
203510,39156,Dorado,payload,Piggy,Houston Outlaws,Winston
203555,39156,Dorado,payload,ir1s,Houston Outlaws,Ana
203594,39156,Colosseo,push,Hawk,Atlanta Reign,Doomfist
203629,39156,Colosseo,push,Kai,Atlanta Reign,Sojourn
203663,39156,Colosseo,push,Ojee,Atlanta Reign,Lucio
203687,39156,Colosseo,push,Ojee,Atlanta Reign,Zenyatta
203723,39156,Colosseo,push,UltraViolet,Atlanta Reign,Ana
203763,39156,Colosseo,push,Venom,Atlanta Reign,Tracer
203803,39156,Colosseo,push,Danteh,Houston Outlaws,Doomfist
203832,39156,Colosseo,push,Lastro,Houston Outlaws,Zenyatta
203868,39156,Colosseo,push,MER1T,Houston Outlaws,Sojourn
203905,39156,Colosseo,push,PELICAN,Houston Outlaws,Genji
203918,39156,Colosseo,push,PELICAN,Houston Outlaws,Tracer
203956,39156,Colosseo,push,ir1s,Houston Outlaws,Ana
203994,39147,Ilios,control,Checkmate,Florida Mayhem,Symmetra
204003,39147,Ilios,control,Checkmate,Florida Mayhem,Tracer
204037,39147,Ilios,control,Rupal,Florida Mayhem,Baptiste
204079,39147,Ilios,control,SirMajed,Florida Mayhem,Lucio
204107,39147,Ilios,control,SirMajed,Florida Mayhem,Zenyatta
204149,39147,Ilios,control,Someone,Florida Mayhem,Wrecking Ball
204198,39147,Ilios,control,Xzi,Florida Mayhem,Ashe
204224,39147,Ilios,control,Xzi,Florida Mayhem,Widowmaker
204261,39147,Ilios,control,AimGod,Seoul Infernal,Zenyatta
204303,39147,Ilios,control,Belosrea,Seoul Infernal,Wrecking Ball
204347,39147,Ilios,control,FIXA,Seoul Infernal,Baptiste
204373,39147,Ilios,control,FIXA,Seoul Infernal,Brigitte
204386,39147,Ilios,control,FIXA,Seoul Infernal,Lucio
204405,39147,Ilios,control,MN3,Seoul Infernal,Ashe
204439,39147,Ilios,control,ZEST,Seoul Infernal,Symmetra
204445,39147,Ilios,control,ZEST,Seoul Infernal,Tracer
204481,39147,King's Row,hybrid,Anamo,Florida Mayhem,Brigitte
204494,39147,King's Row,hybrid,Anamo,Florida Mayhem,Lucio
204538,39147,King's Row,hybrid,Checkmate,Florida Mayhem,Genji
204550,39147,King's Row,hybrid,Checkmate,Florida Mayhem,Mei
204562,39147,King's Row,hybrid,Checkmate,Florida Mayhem,Tracer
204595,39147,King's Row,hybrid,Rupal,Florida Mayhem,Ana
204615,39147,King's Row,hybrid,Rupal,Florida Mayhem,Baptiste
204652,39147,King's Row,hybrid,Someone,Florida Mayhem,Doomfist
204667,39147,King's Row,hybrid,Someone,Florida Mayhem,Reinhardt
204680,39147,King's Row,hybrid,Someone,Florida Mayhem,Winston
204700,39147,King's Row,hybrid,Someone,Florida Mayhem,Zarya
204727,39147,King's Row,hybrid,Xzi,Florida Mayhem,Sojourn
204766,39147,King's Row,hybrid,AimGod,Seoul Infernal,Ana
204790,39147,King's Row,hybrid,AimGod,Seoul Infernal,Zenyatta
204822,39147,King's Row,hybrid,FIXA,Seoul Infernal,Baptiste
204844,39147,King's Row,hybrid,FIXA,Seoul Infernal,Brigitte
204856,39147,King's Row,hybrid,FIXA,Seoul Infernal,Mercy
204879,39147,King's Row,hybrid,Fury,Seoul Infernal,D.Va
204896,39147,King's Row,hybrid,Fury,Seoul Infernal,Doomfist
204918,39147,King's Row,hybrid,Fury,Seoul Infernal,Sigma
204951,39147,King's Row,hybrid,MN3,Seoul Infernal,Ashe
204970,39147,King's Row,hybrid,MN3,Seoul Infernal,Sojourn
205000,39147,King's Row,hybrid,ZEST,Seoul Infernal,Echo
205022,39147,King's Row,hybrid,ZEST,Seoul Infernal,Hanzo
205027,39147,King's Row,hybrid,ZEST,Seoul Infernal,Pharah
205029,39147,King's Row,hybrid,ZEST,Seoul Infernal,Tracer
205056,39147,Watchpoint: Gibraltar,payload,Anamo,Florida Mayhem,Brigitte
205082,39147,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Symmetra
205091,39147,Watchpoint: Gibraltar,payload,Checkmate,Florida Mayhem,Tracer
205134,39147,Watchpoint: Gibraltar,payload,Rupal,Florida Mayhem,Ana
205175,39147,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Doomfist
205183,39147,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Roadhog
205190,39147,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Winston
205219,39147,Watchpoint: Gibraltar,payload,Xzi,Florida Mayhem,Ashe
205234,39147,Watchpoint: Gibraltar,payload,Xzi,Florida Mayhem,Sojourn
205257,39147,Watchpoint: Gibraltar,payload,Xzi,Florida Mayhem,Widowmaker
205285,39147,Watchpoint: Gibraltar,payload,AimGod,Seoul Infernal,Zenyatta
205325,39147,Watchpoint: Gibraltar,payload,Belosrea,Seoul Infernal,Wrecking Ball
205359,39147,Watchpoint: Gibraltar,payload,FIXA,Seoul Infernal,Brigitte
205387,39147,Watchpoint: Gibraltar,payload,MN3,Seoul Infernal,Sojourn
205409,39147,Watchpoint: Gibraltar,payload,MN3,Seoul Infernal,Widowmaker
205434,39147,Watchpoint: Gibraltar,payload,ZEST,Seoul Infernal,Tracer
205475,39147,New Queen Street,push,Checkmate,Florida Mayhem,Tracer
205509,39147,New Queen Street,push,Hydron,Florida Mayhem,Sombra
205539,39147,New Queen Street,push,Rupal,Florida Mayhem,Ana
205582,39147,New Queen Street,push,SirMajed,Florida Mayhem,Zenyatta
205618,39147,New Queen Street,push,Someone,Florida Mayhem,Doomfist
205650,39147,New Queen Street,push,AimGod,Seoul Infernal,Ana
205663,39147,New Queen Street,push,AimGod,Seoul Infernal,Zenyatta
205693,39147,New Queen Street,push,Belosrea,Seoul Infernal,Wrecking Ball
205731,39147,New Queen Street,push,FIXA,Seoul Infernal,Ana
205759,39147,New Queen Street,push,FIXA,Seoul Infernal,Brigitte
205793,39147,New Queen Street,push,MN3,Seoul Infernal,Ashe
205831,39147,New Queen Street,push,ZEST,Seoul Infernal,Tracer
205869,39147,Lijiang Tower,control,Anamo,Florida Mayhem,Brigitte
205887,39147,Lijiang Tower,control,Anamo,Florida Mayhem,Lucio
205924,39147,Lijiang Tower,control,Checkmate,Florida Mayhem,Mei
205941,39147,Lijiang Tower,control,Checkmate,Florida Mayhem,Symmetra
205949,39147,Lijiang Tower,control,Checkmate,Florida Mayhem,Tracer
205984,39147,Lijiang Tower,control,Rupal,Florida Mayhem,Ana
206014,39147,Lijiang Tower,control,Rupal,Florida Mayhem,Baptiste
206034,39147,Lijiang Tower,control,Rupal,Florida Mayhem,Lucio
206047,39147,Lijiang Tower,control,Rupal,Florida Mayhem,Moira
206087,39147,Lijiang Tower,control,Someone,Florida Mayhem,Doomfist
206110,39147,Lijiang Tower,control,Someone,Florida Mayhem,Reinhardt
206141,39147,Lijiang Tower,control,Xzi,Florida Mayhem,Cassidy
206150,39147,Lijiang Tower,control,Xzi,Florida Mayhem,Sojourn
206171,39147,Lijiang Tower,control,Xzi,Florida Mayhem,Sombra
206185,39147,Lijiang Tower,control,Xzi,Florida Mayhem,Symmetra
206202,39147,Lijiang Tower,control,AimGod,Seoul Infernal,Zenyatta
206249,39147,Lijiang Tower,control,Belosrea,Seoul Infernal,Wrecking Ball
206294,39147,Lijiang Tower,control,FIXA,Seoul Infernal,Baptiste
206317,39147,Lijiang Tower,control,FIXA,Seoul Infernal,Brigitte
206332,39147,Lijiang Tower,control,FIXA,Seoul Infernal,Lucio
206347,39147,Lijiang Tower,control,MN3,Seoul Infernal,Ashe
206369,39147,Lijiang Tower,control,MN3,Seoul Infernal,Sojourn
206404,39147,Lijiang Tower,control,ZEST,Seoul Infernal,Symmetra
206413,39147,Lijiang Tower,control,ZEST,Seoul Infernal,Tracer
206444,39154,Oasis,control,AlphaYi,Hangzhou Spark,Symmetra
206452,39154,Oasis,control,AlphaYi,Hangzhou Spark,Tracer
206485,39154,Oasis,control,BERNAR,Hangzhou Spark,Wrecking Ball
206524,39154,Oasis,control,Superich,Hangzhou Spark,Brigitte
206552,39154,Oasis,control,Superich,Hangzhou Spark,Lucio
206573,39154,Oasis,control,irony,Hangzhou Spark,Lucio
206577,39154,Oasis,control,irony,Hangzhou Spark,Zenyatta
206612,39154,Oasis,control,shy,Hangzhou Spark,Ashe
206630,39154,Oasis,control,shy,Hangzhou Spark,Sojourn
206666,39154,Oasis,control,Patiphan,Los Angeles Gladiators,Sojourn
206699,39154,Oasis,control,Reiner,Los Angeles Gladiators,Doomfist
206716,39154,Oasis,control,Reiner,Los Angeles Gladiators,Roadhog
206727,39154,Oasis,control,Reiner,Los Angeles Gladiators,Wrecking Ball
206759,39154,Oasis,control,kevster,Los Angeles Gladiators,Symmetra
206767,39154,Oasis,control,kevster,Los Angeles Gladiators,Tracer
206809,39154,Oasis,control,shu,Los Angeles Gladiators,Ana
206827,39154,Oasis,control,shu,Los Angeles Gladiators,Baptiste
206855,39154,Oasis,control,shu,Los Angeles Gladiators,Lucio
206888,39154,Oasis,control,skewed,Los Angeles Gladiators,Brigitte
206910,39154,Oasis,control,skewed,Los Angeles Gladiators,Zenyatta
206939,39154,Midtown,hybrid,AlphaYi,Hangzhou Spark,Echo
206963,39154,Midtown,hybrid,AlphaYi,Hangzhou Spark,Tracer
206997,39154,Midtown,hybrid,BERNAR,Hangzhou Spark,Sigma
207012,39154,Midtown,hybrid,BERNAR,Hangzhou Spark,Wrecking Ball
207054,39154,Midtown,hybrid,Superich,Hangzhou Spark,Baptiste
207076,39154,Midtown,hybrid,Superich,Hangzhou Spark,Brigitte
207095,39154,Midtown,hybrid,Superich,Hangzhou Spark,Lucio
207111,39154,Midtown,hybrid,irony,Hangzhou Spark,Ana
207138,39154,Midtown,hybrid,irony,Hangzhou Spark,Zenyatta
207171,39154,Midtown,hybrid,shy,Hangzhou Spark,Sojourn
207195,39154,Midtown,hybrid,shy,Hangzhou Spark,Widowmaker
207222,39154,Midtown,hybrid,Patiphan,Los Angeles Gladiators,Sojourn
207256,39154,Midtown,hybrid,Reiner,Los Angeles Gladiators,Doomfist
207281,39154,Midtown,hybrid,Reiner,Los Angeles Gladiators,Winston
207319,39154,Midtown,hybrid,kevster,Los Angeles Gladiators,Genji
