,map_name,player_name,team_name,hero_name
154931,Dorado,ZEST,Seoul Infernal,Tracer
154969,New Queen Street,ChoiSehwan,Guangzhou Charge,Tracer
155008,New Queen Street,Cr0ng,Guangzhou Charge,Doomfist
155022,New Queen Street,Cr0ng,Guangzhou Charge,Zarya
155051,New Queen Street,Develop,Guangzhou Charge,Ashe
155072,New Queen Street,Develop,Guangzhou Charge,Sojourn
155099,New Queen Street,Farway1987,Guangzhou Charge,Zenyatta
155126,New Queen Street,Unique,Guangzhou Charge,Ana
155167,New Queen Street,AimGod,Seoul Infernal,Zenyatta
155199,New Queen Street,Belosrea,Seoul Infernal,Wrecking Ball
155237,New Queen Street,FIXA,Seoul Infernal,Ana
155280,New Queen Street,MN3,Seoul Infernal,Ashe
155317,New Queen Street,ZEST,Seoul Infernal,Tracer
155356,Ilios,GA9A,Chengdu Hunters,Wrecking Ball
155387,Ilios,Jinmu,Chengdu Hunters,Echo
155404,Ilios,Jinmu,Chengdu Hunters,Sombra
155422,Ilios,Jinmu,Chengdu Hunters,Symmetra
155437,Ilios,Leave,Chengdu Hunters,Ashe
155460,Ilios,Leave,Chengdu Hunters,Symmetra
155469,Ilios,Leave,Chengdu Hunters,Tracer
155507,Ilios,Mmonk,Chengdu Hunters,Zenyatta
155549,Ilios,Nisha,Chengdu Hunters,Brigitte
155569,Ilios,Nisha,Chengdu Hunters,Mercy
155596,Ilios,Fate,Shanghai Dragons,Wrecking Ball
155643,Ilios,Fleta,Shanghai Dragons,Echo
155670,Ilios,Fleta,Shanghai Dragons,Symmetra
155675,Ilios,Fleta,Shanghai Dragons,Tracer
155708,Ilios,IZaYaKI,Shanghai Dragons,Zenyatta
155752,Ilios,LIP,Shanghai Dragons,Ashe
155779,Ilios,LIP,Shanghai Dragons,Symmetra
155783,Ilios,LIP,Shanghai Dragons,Tracer
155827,Ilios,LeeJaeGon,Shanghai Dragons,Brigitte
155854,Ilios,LeeJaeGon,Shanghai Dragons,Lucio
155880,Midtown,GA9A,Chengdu Hunters,Doomfist
155902,Midtown,GA9A,Chengdu Hunters,Winston
155933,Midtown,Jinmu,Chengdu Hunters,Genji
155955,Midtown,Jinmu,Chengdu Hunters,Tracer
155982,Midtown,Leave,Chengdu Hunters,Sojourn
156018,Midtown,Mmonk,Chengdu Hunters,Zenyatta
156056,Midtown,Nisha,Chengdu Hunters,Ana
156099,Midtown,Fate,Shanghai Dragons,Wrecking Ball
156137,Midtown,Fleta,Shanghai Dragons,Tracer
156171,Midtown,IZaYaKI,Shanghai Dragons,Zenyatta
156201,Midtown,LIP,Shanghai Dragons,Sojourn
156219,Midtown,LIP,Shanghai Dragons,Widowmaker
156237,Midtown,LeeJaeGon,Shanghai Dragons,Brigitte
156260,Midtown,LeeJaeGon,Shanghai Dragons,Lucio
156291,Dorado,GA9A,Chengdu Hunters,Winston
156317,Dorado,GA9A,Chengdu Hunters,Wrecking Ball
156351,Dorado,Jinmu,Chengdu Hunters,Genji
156377,Dorado,Jinmu,Chengdu Hunters,Symmetra
156381,Dorado,Jinmu,Chengdu Hunters,Tracer
156411,Dorado,Leave,Chengdu Hunters,Ashe
156437,Dorado,Leave,Chengdu Hunters,Sojourn
156456,Dorado,Leave,Chengdu Hunters,Widowmaker
156479,Dorado,Mmonk,Chengdu Hunters,Ana
156503,Dorado,Mmonk,Chengdu Hunters,Zenyatta
156543,Dorado,Nisha,Chengdu Hunters,Brigitte
156559,Dorado,Nisha,Chengdu Hunters,Zenyatta
156583,Dorado,Fate,Shanghai Dragons,Winston
156610,Dorado,Fate,Shanghai Dragons,Wrecking Ball
156650,Dorado,Fleta,Shanghai Dragons,Genji
156653,Dorado,Fleta,Shanghai Dragons,Tracer
156690,Dorado,IZaYaKI,Shanghai Dragons,Ana
156722,Dorado,IZaYaKI,Shanghai Dragons,Lucio
156747,Dorado,LIP,Shanghai Dragons,Ashe
156777,Dorado,LIP,Shanghai Dragons,Symmetra
156783,Dorado,LIP,Shanghai Dragons,Widowmaker
156802,Dorado,LeeJaeGon,Shanghai Dragons,Baptiste
156808,Dorado,LeeJaeGon,Shanghai Dragons,Brigitte
156826,Dorado,LeeJaeGon,Shanghai Dragons,Zenyatta
156865,New Queen Street,GA9A,Chengdu Hunters,Wrecking Ball
156903,New Queen Street,Jinmu,Chengdu Hunters,Tracer
156936,New Queen Street,Leave,Chengdu Hunters,Sojourn
156981,New Queen Street,Mmonk,Chengdu Hunters,Zenyatta
157021,New Queen Street,Nisha,Chengdu Hunters,Brigitte
157055,New Queen Street,Fate,Shanghai Dragons,Wrecking Ball
157087,New Queen Street,Fleta,Shanghai Dragons,Tracer
157121,New Queen Street,IZaYaKI,Shanghai Dragons,Ana
157155,New Queen Street,LIP,Shanghai Dragons,Ashe
157178,New Queen Street,LIP,Shanghai Dragons,Sombra
157206,New Queen Street,LeeJaeGon,Shanghai Dragons,Brigitte
157229,New Queen Street,LeeJaeGon,Shanghai Dragons,Zenyatta
157266,New Queen Street,Danteh,Houston Outlaws,Doomfist
157307,New Queen Street,Lastro,Houston Outlaws,Zenyatta
157342,New Queen Street,MER1T,Houston Outlaws,Sojourn
157380,New Queen Street,PELICAN,Houston Outlaws,Genji
157415,New Queen Street,ir1s,Houston Outlaws,Ana
157454,New Queen Street,Flora,New York Excelsior,Tracer
157489,New Queen Street,GangNamJin,New York Excelsior,Zenyatta
157533,New Queen Street,Kellan,New York Excelsior,Doomfist
157562,New Queen Street,Myunb0ng,New York Excelsior,Ana
157599,New Queen Street,Yaki,New York Excelsior,Genji
